City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Oktyabrskiy,RU,9/21/2021 23:25,54.4815,53.471,48.24,46,98,4.7
251,Najran,SA,9/21/2021 23:25,17.4924,44.1277,74.05,33,62,8.23
252,Norman Wells,CA,9/21/2021 23:17,65.282,-126.8329,46.44,66,75,11.5
253,Saint-Pierre,RE,9/21/2021 23:25,-21.3393,55.4781,65.88,60,0,8.05
254,Gemena,CD,9/21/2021 23:25,3.25,19.7667,70.32,99,92,2.15
255,Pevek,RU,9/21/2021 23:25,69.7008,170.3133,26.49,82,85,10.11
256,Zavitinsk,RU,9/21/2021 23:25,50.1167,129.45,52.47,76,100,8.12
257,Husavik,IS,9/21/2021 23:24,66.0449,-17.3389,40.91,98,100,26.71
258,Valley City,US,9/21/2021 23:25,46.9233,-98.0032,68.74,39,1,6.91
259,Viedma,AR,9/21/2021 23:20,-40.8135,-62.9967,54.01,51,0,13.53
260,Taoudenni,ML,9/21/2021 23:25,22.6783,-3.9836,97.25,8,0,10.87
261,Porkhov,RU,9/21/2021 23:25,57.765,29.5561,39.09,98,100,7.09
262,Emmett,US,9/21/2021 23:25,43.8735,-116.4993,79.63,19,3,9.95
263,Osorno,CL,9/21/2021 23:25,-40.5667,-73.15,59.31,77,75,6.91
264,Malaya Serdoba,RU,9/21/2021 23:25,52.4661,44.9512,49.33,92,69,5.86
265,Evensk,RU,9/21/2021 23:25,61.95,159.2333,43.23,88,100,17.02
266,Zhuhai,CN,9/21/2021 23:25,22.2769,113.5678,84.06,84,20,5.75
267,Bethel,US,9/21/2021 23:19,41.3712,-73.414,70.99,86,1,0
268,Carnarvon,AU,9/21/2021 23:21,-24.8667,113.6333,59.07,72,0,6.91
269,Goure,NE,9/21/2021 23:25,13.9835,10.2704,84.02,31,48,3.29
270,Severo-Yeniseyskiy,RU,9/21/2021 23:25,60.3725,93.0408,31.06,99,100,3.78
271,Sterling,US,9/21/2021 23:25,39.0062,-77.4286,76.98,79,75,5.75
272,Provideniya,RU,9/21/2021 23:25,64.3833,-173.3,33.91,60,40,13.42
273,Guatire,VE,9/21/2021 23:25,10.4762,-66.5427,81.1,95,100,1.99
274,Tsalka,GE,9/21/2021 23:25,41.5946,44.0891,51.94,72,86,6.11
275,Amahai,ID,9/21/2021 23:25,-3.3333,128.9167,78.46,85,92,3.91
276,Torbat-E Jam,IR,9/21/2021 23:25,35.244,60.6225,65.23,32,0,9.53
277,Pimentel,PE,9/21/2021 23:25,-6.8367,-79.9342,64.69,77,0,20.71
278,Iralaya,HN,9/21/2021 23:21,15,-83.2333,87.89,76,17,6.98
279,Mata,PT,9/21/2021 23:25,40.683,-7.4592,63.81,61,0,10.42
280,Lukovetskiy,RU,9/21/2021 23:25,64.2956,41.9211,26.58,95,3,4.18
281,Rawah,IQ,9/21/2021 23:25,34.4816,41.9093,79.72,28,0,11.07
282,Coquimbo,CL,9/21/2021 23:21,-29.9533,-71.3436,56.93,67,90,8.05
283,Pacific Grove,US,9/21/2021 23:22,36.6177,-121.9166,95.02,59,1,8.99
284,Sakakah,SA,9/21/2021 23:22,29.9697,40.2064,81.97,23,3,2.26
285,Nishihara,JP,9/21/2021 23:25,26.1842,127.7558,83.86,89,40,8.05
286,Joshimath,IN,9/21/2021 23:25,30.5667,79.5667,67.1,89,96,0.85
287,Kupang,ID,9/21/2021 23:25,-10.1667,123.5833,81.18,74,40,6.91
