City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Vila Velha,BR,-20.3297,-40.2925,69.75,64,40,12.66,scattered clouds
229,Karratha,AU,-20.7377,116.8463,71.62,48,35,7.02,scattered clouds
230,Nurobod,UZ,40.9056,69.8023,58.05,22,0,4.52,clear sky
231,Haileybury,CA,47.449,-79.6373,48.78,97,100,9.1,overcast clouds
232,Seryshevo,RU,51.0933,128.3786,45.54,87,87,6.85,overcast clouds
233,Yeppoon,AU,-23.1333,150.7333,58.78,67,19,4.63,few clouds
234,Luena,AO,-11.7833,19.9167,68.02,21,27,4.32,scattered clouds
235,Manchar,IN,19.0,73.9333,70.93,91,100,3.87,overcast clouds
236,Damara,CF,4.9608,18.7035,69.12,95,89,0.98,overcast clouds
237,Miri,MY,4.4148,114.0089,77.14,88,40,3.44,scattered clouds
238,Arkhangelsk,RU,64.5401,40.5433,44.71,87,90,4.47,overcast clouds
239,Tazovskiy,RU,67.4667,78.7,34.18,80,93,10.56,overcast clouds
240,Auburn Hills,US,42.6875,-83.2341,53.69,95,90,4.0,mist
241,Changji,CN,44.0167,87.3167,57.99,33,0,4.47,clear sky
242,Salalah,OM,17.0151,54.0924,84.29,79,75,5.75,broken clouds
243,Sabalgarh,IN,26.25,77.4,77.7,87,44,4.54,scattered clouds
244,Bazarnyye Mataki,RU,54.8833,49.9333,46.51,90,100,8.88,moderate rain
245,Alice Springs,AU,-23.7,133.8833,42.35,49,13,0.0,few clouds
246,Buala,SB,-8.145,159.5921,79.84,79,100,4.07,light rain
247,Qasigiannguit,GL,68.8193,-51.1922,25.05,84,100,2.93,overcast clouds
248,Avera,US,33.194,-82.5271,77.76,43,0,6.29,clear sky
249,Conde,BR,-7.2597,-34.9075,78.26,83,0,12.66,clear sky
250,Georgetown,MY,5.4112,100.3354,80.89,85,20,0.0,few clouds
251,Mitsamiouli,KM,-11.3847,43.2844,76.12,79,0,5.57,clear sky
252,Anqing,CN,30.5092,117.0506,75.87,67,49,2.46,light rain
253,Peruibe,BR,-24.32,-46.9983,64.27,77,81,7.2,broken clouds
254,Hede,CN,33.7681,120.2517,72.14,87,73,10.49,light rain
255,Iznik,TR,40.4286,29.7211,55.35,84,53,4.72,broken clouds
256,Portland,US,45.5234,-122.6762,74.86,63,75,3.0,broken clouds
257,Cidreira,BR,-30.1811,-50.2056,62.33,84,99,18.59,overcast clouds
258,Mar Del Plata,AR,-38.0023,-57.5575,55.42,94,90,6.91,overcast clouds
259,Rolla,US,37.9514,-91.7713,73.85,36,1,1.01,clear sky
260,Pangody,RU,65.85,74.4859,37.2,96,100,13.31,light rain
261,Nouadhibou,MR,20.931,-17.0347,71.58,83,0,16.11,clear sky
262,Vestmannaeyjar,IS,63.4427,-20.2734,49.14,91,100,14.83,overcast clouds
263,Linxia,CN,35.6003,103.2064,60.78,71,98,0.43,overcast clouds
264,Meulaboh,ID,4.1363,96.1285,76.75,90,86,4.5,overcast clouds
265,Panuco,MX,22.05,-98.1667,84.38,54,68,1.39,broken clouds
266,Saint-Augustin,CA,51.226,-58.6502,51.93,87,100,4.7,overcast clouds
267,Salinopolis,BR,-0.6136,-47.3561,81.23,74,63,11.12,broken clouds
268,Khromtau,KZ,50.2503,58.4347,45.18,47,83,14.2,broken clouds
269,Pacifica,US,37.6138,-122.4869,99.05,54,75,11.5,broken clouds
270,Sinnamary,GF,5.3833,-52.95,82.24,75,31,12.06,scattered clouds
271,Natal,BR,-5.795,-35.2094,81.25,78,40,13.8,scattered clouds
272,Fairbanks,US,64.8378,-147.7164,41.59,51,75,1.14,broken clouds
273,Hefei,CN,31.8639,117.2808,77.02,57,0,6.71,light rain
274,Ibra,OM,22.6906,58.5334,85.42,54,97,6.13,overcast clouds
275,Shelburne,CA,44.0787,-80.2041,59.45,82,96,13.04,overcast clouds
276,Gat,IL,31.61,34.7642,77.68,100,4,7.2,clear sky
277,Ahvaz,IR,31.3203,48.6693,78.75,27,0,2.3,clear sky
278,Yar-Sale,RU,66.8333,70.8333,39.78,86,100,12.86,overcast clouds
279,Cabanas,CU,22.9758,-82.9219,75.67,71,86,4.97,moderate rain
280,Honiara,SB,-9.4333,159.95,79.9,81,86,4.63,overcast clouds
281,Mirnyy,RU,62.5353,113.9611,36.46,91,100,2.3,overcast clouds
282,Griffith,US,41.5284,-87.4237,70.9,42,1,1.99,clear sky
283,Marienburg,PL,54.0359,19.0266,60.96,70,98,27.16,overcast clouds
284,Komsomolskiy,UZ,40.4272,71.7189,65.12,39,0,9.22,clear sky
285,Swift Current,CA,50.2834,-107.8014,62.65,30,98,15.01,overcast clouds
286,Longyearbyen,SJ,78.2186,15.6401,46.24,71,75,20.71,broken clouds
287,Kahului,US,20.8947,-156.47,85.96,69,20,25.32,few clouds
288,Luwuk,ID,-0.9516,122.7875,74.79,89,91,3.2,overcast clouds
289,Nakamura,JP,32.9833,132.9333,66.51,79,19,3.67,few clouds
290,Poopo,BO,-18.3667,-66.9667,51.94,43,83,3.83,broken clouds
291,Emet,TR,39.343,29.2585,46.27,81,73,6.35,broken clouds
292,Porto Novo,BJ,6.4965,2.6036,80.42,87,78,5.1,broken clouds
293,Cauquenes,CL,-35.9671,-72.3225,67.39,51,99,6.96,overcast clouds
294,Chicama,PE,-7.8447,-79.1469,63.14,63,20,8.48,few clouds
295,Dingle,PH,10.9995,122.6711,76.01,92,86,5.08,light rain
296,Kayes,ML,14.0,-11.0,83.3,62,93,1.3,overcast clouds
297,Padang,ID,-0.9492,100.3543,75.25,86,81,3.51,broken clouds
